reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
stage, value
%Stage 0, 168, 168,0.15208333333333332, 0.06194690265486733
%Stage 1, 829, 997,0.22843137254901913, 0.16832779623477329
%Stage 2, 639, 1636,0.21759259259259262, 0.17214648489708612
%Stage 3, 642, 2278,0.20570175438596536, 0.17051049494687784
%Stage 4, 446, 2724,0.19583333333333347, 0.17010568696527392
%Stage 5, 446, 3170,0.18650793650793607, 0.16479765967820595
%Stage 6, 447, 3617,0.17803030303030284, 0.16109134045077095
%Stage 7, 447, 4064,0.1702898550724636, 0.15713955102985486
%Stage 8, 447, 4511,0.16319444444444411, 0.15313486693730258
%Stage 9, 447, 4958,0.16319444444444411, 0.1494936151475115
%Stage 10, 447, 5405,0.16319444444444411, 0.1454896078851508
reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
stage, value
%Stage 0, 168, 168,0.15208333333333332, 0.06194690265486733
%Stage 1, 370, 538,0.1789215686274507, 0.11683277962347743
%Stage 2, 421, 959,0.1893518518518518, 0.1255017393631253
%Stage 3, 531, 1490,0.18991228070175478, 0.1425974025974024
%Stage 4, 426, 1916,0.19166666666666682, 0.1605342741935488
%Stage 5, 445, 2361,0.18650793650793607, 0.16458486407053585
%Stage 6, 447, 2808,0.17803030303030284, 0.16124436000949907
%Stage 7, 447, 3255,0.1702898550724636, 0.15645161290322634
%Stage 8, 447, 3702,0.16319444444444411, 0.15272154745838992
%Stage 9, 447, 4149,0.16319444444444411, 0.14864273204903738
%Stage 10, 447, 4596,0.16319444444444411, 0.14520958083832358
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
stage, value
%Stage 0, 257, 257,0.15729166666666666, 0.06794176420211247
%Stage 1, 439, 696,0.18382352941176439, 0.12403100775193818
%Stage 2, 465, 1161,0.19259259259259257, 0.13245919186513233
%Stage 3, 561, 1722,0.19649122807017586, 0.1540856031128401
%Stage 4, 433, 2155,0.19375000000000012, 0.16645744413758512
%Stage 5, 447, 2602,0.18650793650793607, 0.1656905807711081
%Stage 6, 447, 3049,0.17803030303030284, 0.16063401939910107
%Stage 7, 447, 3496,0.1702898550724636, 0.15645161290322634
%Stage 8, 447, 3943,0.16319444444444411, 0.15217391304347813
%Stage 9, 447, 4390,0.16319444444444411, 0.14864273204903738
%Stage 10, 447, 4837,0.16319444444444411, 0.14520958083832358
reconfigureRate is 122, reconfigureDcRate is 40 
Case 0
stage, value
%Stage 0, 736, 736,0.23020833333333332, 0.1253211532971737
%Stage 1, 836, 1572,0.23039215686274464, 0.17746400885935798
%Stage 2, 637, 2209,0.21759259259259262, 0.17306144352025804
%Stage 3, 638, 2847,0.20614035087719343, 0.16931079323797188
%Stage 4, 439, 3286,0.19583333333333347, 0.16431806743834892
%Stage 5, 441, 3727,0.18650793650793607, 0.1617323219965742
%Stage 6, 441, 4168,0.17803030303030287, 0.15658362989323835
%Stage 7, 441, 4609,0.1702898550724636, 0.15240949965413905
%Stage 8, 441, 5050,0.16319444444444411, 0.1486304445442299
%Stage 9, 442, 5492,0.16319444444444411, 0.14522821576763473
%Stage 10, 442, 5934,0.16319444444444411, 0.1419423692636074
