no-reconfig120,link-reconfig120,"Lim-rec(5,0)","Lim-rec(5,2)",Any-rec
0.031401656,0.05652298,0.06394519,0.061090494,0.123893805
0.047540077,0.097452935,0.110741971,0.119047619,0.176633444
0.048296217,0.105699759,0.120417447,0.12885906,0.172524819
0.055989583,0.112727273,0.147736093,0.141295863,0.167230169
0.067963618,0.121852971,0.159376571,0.160412994,0.164066432
0.093711769,0.128029376,0.165039063,0.164464023,0.159530218
0.102965599,0.133238163,0.16124436,0.16109134,0.154685647
0.110802683,0.149257196,0.156451613,0.157139551,0.150334332
0.112035996,0.153031327,0.152721547,0.152721547,0.146385272
0.112329969,0.148740416,0.149099693,0.149099693,0.142389168
0.120283019,0.145365018,0.145209581,0.145489608,0.141302028
